2e42_A	2e42_B	100.000	78	0	0	1	78	1	78	5.26e-53	153
2e42_A	2e42_A	100.000	78	0	0	1	78	1	78	5.26e-53	153
2e42_A	1io4_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1io4_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1h8a_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1h8a_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1h88_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1h88_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gu5_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gu5_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gu4_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gu4_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gtw_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1gtw_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_A	1hjb_E	98.718	78	1	0	1	78	1	78	3.64e-52	151
2e42_A	1hjb_D	98.718	78	1	0	1	78	1	78	3.64e-52	151
2e42_A	1hjb_B	98.718	78	1	0	1	78	1	78	3.64e-52	151
2e42_A	1hjb_A	98.718	78	1	0	1	78	1	78	3.64e-52	151
2e42_A	2e43_B	97.436	78	2	0	1	78	1	78	1.43e-51	149
2e42_A	2e43_A	97.436	78	2	0	1	78	1	78	1.43e-51	149
2e42_A	1h89_B	98.438	64	1	0	15	78	1	64	1.07e-41	124
2e42_A	1h89_A	98.438	64	1	0	15	78	1	64	1.07e-41	124
2e42_A	1t2k_D	35.849	53	34	0	21	73	7	59	0.003	26.6
2e42_A	1a02_F	38.095	63	21	3	17	75	4	52	0.010	25.0
2e42_A	1fos_G	38.095	63	21	3	17	75	3	51	0.013	25.0
2e42_A	1fos_E	38.095	63	21	3	17	75	3	51	0.013	25.0
2e42_A	1s9k_D	36.508	63	22	3	17	75	2	50	0.035	23.9
2e42_A	2h7h_B	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	2h7h_A	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	1jnm_B	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	1jnm_A	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	1fos_H	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	1fos_F	34.615	52	34	0	19	70	5	56	0.13	22.3
2e42_A	1t2k_C	34.615	52	34	0	19	70	6	57	0.15	22.3
2e42_A	1a02_J	35.294	51	33	0	19	69	6	56	0.16	21.9
2e42_A	1s9k_E	33.333	51	34	0	19	69	2	52	0.43	20.8
2e42_A	7X5F_2	33.898	59	30	3	19	69	56	113	1.3	20.0
2e42_A	7X5E_2	33.898	59	30	3	19	69	56	113	1.3	20.0
2e42_A	8IA3_1	35.714	28	18	0	48	75	75	102	2.7	19.2
2e42_B	2e42_B	100.000	78	0	0	1	78	1	78	5.26e-53	153
2e42_B	2e42_A	100.000	78	0	0	1	78	1	78	5.26e-53	153
2e42_B	1io4_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_B	1io4_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_B	1h8a_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_B	1h8a_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_B	1h88_B	98.718	78	1	0	1	78	1	78	3.18e-52	151
2e42_B	1h88_A	98.718	78	1	0	1	78	1	78	3.18e-52	151
